1007000395	channel
1007000411	ford
1007000427	meander
1007000443	flood control reservoir
1007000459	outlet glacier
1007000475	inlet
1007000491	subsequent stream
1007000507	wadi mouth
1007000523	cutoff
1007000539	sill
1007000555	check dam
1007000571	arboreal habitat
1007000587	endolithic habitat
1007000603	soil
1007000619	plutonic rock
1007000635	aquatic biome
1007000651	activated sludge
1007000683	aerobic bioreactor
1007000699	borax leachate
1007000715	ditch water
1007000763	coal mine waste
1007000779	oligotrophic water
1007000795	calcisol
1007000811	solonetz
1007000827	nuclear power plant
1007000843	warm seep
1007000923	drinking water
1007000955	tap water
1007001035	arable soil
1007001051	alluvial swamp soil
1007001067	peat soil
1007001083	red soil
1007001115	vivarium
1007001323	marine hydrothermal vent biome
1007001339	marginal sea biome
1007001355	marine benthic storm
1007001371	marine nutricline
1007001387	subtropical convergence front
1007001403	hydrogenous sediment
1007001419	neritic sub-littoral zone
1007001435	wood fall
1007001451	marine snow
1007001467	forest biome
1007001483	flooded savanna biome
1007001499	temperate
1007001515	subtropical woodland biome
1007001531	polar
1007001547	nesting material
1007001595	umbrella
1007001627	goat manure
1007000012	garden
1007000028	spring
1007000044	wetland
1007000060	underground river
1007000076	bridge
1007000092	beach
1007000108	heath
1007000124	political entity
1007000140	irrigation ditch
1007000156	cirque
1007000172	river valley
1007000188	tundra mire
1007000204	rift lake
1007000220	landlocked sea
1007000236	carr
1007000252	ground moraine
1007000268	submarine canyon
1007000284	ridge
1007000300	ice mass
1007000316	bajada
1007000332	stalactite
1007000348	grain of sea sand
1007000364	nature reserve
1007000380	ice shelf
1007000396	marine channel
1007000412	tidal watercourse
1007000444	clearing
1007000460	penplain
1007000476	lake inlet
1007000492	resequent stream
1007000508	terrace
1007000524	abandoned watercourse
1007000540	brackish lake
1007000556	wing dam
1007000572	subterrestrial habitat
1007000588	Large river biome
1007000604	marine water body
1007000620	volcanic rock
1007000636	anthropogenic habitat
1007000668	oil seep
1007000684	stream sediment
1007000700	calcite hot spring
1007000716	drilling bore water
1007000748	animal litter
1007000764	self-heating coal mine waste
1007000780	eutrophic water
1007000796	kastanozem
1007000812	regosol
1007000828	waste treatment plant
1007000844	clay
1007000892	silage
1007000940	metal contaminated soil
1007000956	bore hole water
1007000988	cosmetic product
1007001004	chalk soil
1007001036	roadside soil
1007001052	alluvial paddy field soil
1007001068	salt contaminated soil
1007001324	marine feature
1007001340	mediterranean sea biome
1007001356	marine upwelling
1007001372	marine lysocline
1007001388	marginal ice zone front
1007001404	cosmogenous sediment
1007001420	marine cold seep biome
1007001436	marine reef
1007001452	organic feature
1007001468	woodland biome
1007001484	subtropical grassland biome
1007001500	mediterranean
1007001516	montane savanna biome
1007001532	oak woodland
1007000013	hydrographic feature
1007000029	sand pit quarry
1007000045	peatland
1007000061	underground stream
1007000077	mine
1007000093	sea beach
1007000109	meadow
1007000125	supranational geopolitical entity
1007000141	drainage ditch
1007000157	desert oasis
