"Name of Institution","Primary Contact","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country"
"Academy of Natural Sciences, Botany Department","Alina Freire-Fierro","Botany Department","1900 Benjamin Franklin Parkway","","Philadelphia","Pennsylvania","19103","USA"
"Aging Tissue Bank","Hae Young Chung","30 Jangjeon-dong, Geumjeong-gu","","","Busan","Busan","609-735","South Korea"
"Agricultural Scientific Collections Unit","Peter Gillespie","Orange Agricultural Institute","Forest Road","","Orange","New South Wales,","2800","Australia"
"Agriculture and Agri-Food Canada Potato Research Station","Dr. Yvan Pelletier","Agriculture and Agri-Food Canada/Agriculture et Agroalimentaire Canada","Potato Research Centre","850 Lincoln Rd.","Fredericton","New Brunswick","E3B 4Z7","Canada"
"Agriculture and Agri-Food Canada, Kamloop, BC","Barbara Brooke","Grassland Applied Technology Centre","3015 Ord Road","","Kamloops","British Columbia","V2B 8A9","Canada"
"Algensammlung am Institut fur Botanik","Professor G. Gaertner","Sternwartestrasse 15, Innsbruck, A-6020","","","Innsbruck","Tyrol","6020","Austria"
"Angelo State Natural History Collection","Dr. Loren Ammerman, Curator of Frozen Tissues","Department of Biology","Angelo State Natural History Collection","Angelo State University","San Angelo","TX","76909","USA"
"Arachnology Division, Sacred Heart College","Dr. P.A. Sebastian","Division of Arachnology, Dept. of Zoology","","","Thevara, Cochin","Kerala","682013","India"
"Arthropods of Medical Importance Resource Bank","Kyoung Yong Jeong","Dept. of Environmental Medical Biology","Yonsei University - College of Medicine","","Seoul","Seoul","120-752","Korea"
"Asenovgrad Museum","Nikolai Spassov","","","","","","",""
"ATOLep Collection","Kim Mitter, Ph.D. (Collection Manager)","Department of Entomology","4112 Plant Sciences Building","University of Maryland","College Park","MD","20742-4454","USA"
"Australian Biological Tissue Collection, South Australian Museum","Prof. Stephen Donnellan","Evolutionary Biology Unit","South Australian Museum","North Terrace","Adelaide","","5000","Australia"
"Australian Museum","David Britton","6 College Street","","","Sydney","NSW","2010","Australia"
"Australian National Algae Culture Collection","Ian Jameson, Curator","CSIRO Marine and Atmospheric Research","GPO Box 1532","","Hobart","Tasmania","7001","Australia"
"Australian National Botanic Gardens","Brendan Lepschi, Curator","G.P.O. Box 1600","Australian National Herbarium","G.P.O. Box 1600","Canberra","Australian Capital Territory","2601","Australia"
"Australian National Botanic Gardens, specimens pre-1993","Brendan Lepschi, Curator","G.P.O. Box 1777","Herbarium","G.P.O. Box 1777","Canberra","Australian Capital Territory","2601","Australia"
"Australian National Fish Collection","Alastair Graham (Fish Collection Manager)","CSIRO Marine and Atmospheric Research","GPO Box 1538","","Hobart","Tasmania","7001","Australia"
"Australian National Insect Collection","Nicole Fisher","Black Mountain Laboratories","Clunies Ross Street","GPO Box 1700","Canberra City","Australian Capital Territory","ACT 2601","Australia"
"Australian National Wildlife Collection","Leo Joseph","GPO Box 284","","","Canberra","Australian Capital Territory","2601","Australia"
"Bank of Modified Nucleic Acid Systems","Won bo yeon","Department of Chemistry, Pohang University of Science and Technology San 31 Hyojadong, Pohang, Kyungbuk,790-784 Republic of Korea","","","Pohang","Kyongsangbuk-do","790-784","South Korea"
"Bavarian State Collection of Zoology","Prof. Dr. Gerhard Haszprunar","Zoologische Staatssammlung Muenchen","Muenchhausenstrasse 21","","81247 Muenchen","Bayern","81247","Germany"
"Biodôme de Montréal","Serge P&amp;eacute;pin","4777, Pierre-De Coubertin","","","Montréal","Québec","H1V 1B3","Canada"
"Biodiversity Institute of Ontario","Sally (Sarah) Adamowicz, Director of Collections","Biodiversity Institute of Ontario","University of Guelph","Grange Lane","Guelph","Ontario","N1G 1Y2","Canada"
"Biodiversity Research Museum, Academia Sinica, Taiwan","Pai-Lei, Lin","128 Sec. 2, Academia Rd","","","Taipei 115","","","Taiwan"
"Biology Centre of the Upper Austrian State Museum","Dr. Gerhard Aubrecht","","","","","","",""
"Biology Centre of the Upper Austrian State Museum - Herbarium","Doz. Dr. Martin Pfosser","Johann Wilhelm Klein Str. 73","","","Linz","Upper Austria","4040","Austria"
"Bishop Museum","Neal Evenhuis","1525 Bernice Street","","","Honolulu","Hawaii","96817-2704","USA"
"Bishop Museum, Botany Division","Barbara Kennedy","Department of Natural Sciences","1525 Bernice Street","","Honolulu","Hawaii","96817-2704","USA"
"Botanical Museum - University of Oslo","Charlotte Sletten Bjorå","Natural History Museum","P.O. Box 1172, Blindern","","NO-0318 Oslo","","","Norway"
"Botanische Staatssammlung München","Andreas  Beck","Menzinger Straße 67","Botanische Staatssammlung München","Menzinger Straße 67","D-80638 München","","D-80638","Germany"
"Botanischer Garten und Botanisches Museum Berlin-Dahlem, Zentraleinrichtung der Freien Universitaet","Robert Vogt, Curator","Königin-Luise-Strasse 6-8","","","D-14195 Berlin","","D-14195","Germany"
"Bovine Genome Resources Bank","Inho Choi","Bovine Genome Resources Bank","214 Dae-dong Yeungnam University","Kyeongbuk, Kyeongsan 712-749","Gyeongsan-si","GYEONGSANGBUK-DO KYUNGSAN","712-749","South Korea"
"Brassica Resource Bank","Prof. Yong Pyo Lim","Brassica Resources Bank(BRB)","","","Daejeon","Yuseong-gu, Gung-Dong","305-764","South Korea"
"Brigham Young University - S.L. Welsh Herbarium","N. Duane Atwood","375 MLBM","Brigham Young University","375 MLBM","Provo","Utah","84602-0200","USA"
"Brukenthal National Museum Museum of Natural History","Ghizela Vonica","Str. Cetatii, Nr. 1","","","Sibiu","n/a","550169","Romania"
"C.P. Gillette Museum of Arthropod Diversity","Dr. Boris C. Kondratieff, Director, C. P. Gillette Museum of Arthropod Diversity","Colorado State University","Department of Bioagricultural Sciences and Pest Management","","Fort Collins","Colorado","80523","USA"
"c/o North Queensland Naturalists' Club","","P.O. Box 991","","","Cairns","Queensland","4870","Australia"
"CABI Collection","J. C. David","Royal Botanic Gardens","Kew","","Richmond, Surrey","England","TW9 3AB","United Kingdom"
"California Academy of Sciences, Dudley Herbarium","Debra  Trock","Botany Department","55 Music Concourse Drive","","San Francisco","California","94118","USA"
"California State Collection of Arthropods","Stephen Gaimari","3294 Meadowview Rd.","Plant Pest Diagnostics Center","California Department of Food and Agriculture","Sacramento","CA","95832","USA"
"Cambodian Molecular Genetics Group","Vittoria Elliott","Cambodian Moelcular Genetics Group","Scientific Capacity Development Institute","Royal university of Phnom Penh","Phnom Penh","Phnom Penh","None","Cambodia"
"Canadian Collection of Fungal Cultures","Carolyn Babcock","Agriculture and Agri-Food Canada","Rm. 1015, K.W. Neatby Building","930 Carling Avenue","Ottawa","Ontario","K1A 0C6","Canada"
"Canadian National Collection of Insects, Arachnids, and Nematodes","Dr. Owen Lonsdale","Canadian National Collection","Agriculture and Agri-Food Canada","960 Carling Avenue, K.W. Neatby Building","Ottawa","Ontario","K1A 0C6","Canada"
"Canadian National Mycological Herbarium","Scott A. Redhead","Eastern Cereal and Oilseed Research Centre (ECORC)","Biological Resources Program","Wm. Saunders Building, Central Experimental Farm","Ottawa","Ontario","","Canada"
"Canadian Phycological Culture Centre","Heather Roshon","Canadian Phycological Culture Centre","University of Waterloo - Dept. of Biology","200 University Ave W.","Waterloo","Ontario","N2L3G1","Canada"
"Canadian Plant Virus Collection","Michael Bernardy","Agriculture Agri-Food Canada","Pacific Agri-Food Research Centre","Box 5000 Hwy 97","Summerland","British Columbia","V0H 1Z0","Canada"
"Center for Environmental Management of Military Lands Plant Collection","Nancy E. Hastings, Curator","1490 Campus Delivery","","","Fort Collins","Colorado","80523-1490","USA"
"Center for Fungal Genetic Resources","Jaejin Park","200-1036 Center for Fungal Genetic Resources","Seoul National University","Daehak-dong Gwanak-gu Seoul (Seoul 151-921 Korea)","Seoul","Seoul","151-921","South Korea"
"Centraalbureau voor Schimmelcultures, CBS Fungal Biodiversity Centre","Gerard J. M. Verkley","P.O. Box 85167","","","NL-3508 AD Utrecht","","","Netherlands"
"Centre International de Ressources Microbiennes - Levures","Serge Casaregola","","","","","","",""
"Centro de Ornitologia y Biodiversidad","Thomas Valqui","Calle Santa Rita Of. 202, Urb. Huertos de San Antonio, Surco","","","Lima","Lima","Lima-33","Peru"
"Centro Nacional Patagonico (CENPAT-CONICET)","Luciano Javier Avila/Mariana Morando","Boulevard Almirante Guillermo Brown 2915","CENPAT-CONICET","","Puerto Madryn","Chubut","U9120ACD","Argentina"
"Citrus Genetic Resources Bank","Prof.Jae-Hoon Kim","","Citrus Genetic Resources Bank(CGRB)","","Jeju","Aradong 1,Jeju","690-756","South Korea"
"Colorado College Biology Department","Sylvia  Kelso","Biology Department","411 Barnes Science Bldg.","14 E. Cache La Poudre","Colorado Springs","Colorado","80903","USA"
"Connell Memorial Herbarium, UNB Fredericton","Gary W. Saunders, Director of the Herbarium and Curator of Algae","Department of Biology","10 Bailey Dr.","","Fredericton","New Brunswick","E3B 5A3","Canada"
"Cornell University Museum of Vertebrates","John P. Friel","Cornell University Museum of Vertebrates","159 Sapsucker Woods Road","","Ithaca","New York","14850-1923","USA"
"CRAI - Universitat de Barcelona","","CeDoc de Biodiversitat Vegetal","Baldiri Reixac 2","","E-08028 Barcelona","","8028","Spain"
"Culture Collection of Antimicrobial Resistant Microbes","Yeonhee Lee","The 1st Science Building #429","Seoul Women 's University","Kongrung 2 Dong 126, Nowonku","Seoul","Kyunggido","139-774","Korea"
"Boonshoft Museum of Discovery","Gary A. Coovert","Biology Department","2600 DeWeese Parkway","P.O. Box 3937","Dayton","Ohio","19807-0937","USA"
"Department of Biotechnology, Sant Gadge Baba Amravati University, Amravati","Dr. Prashant V. Thakare","Department of Biotechnology","Sant Gadge Baba Amravati University","Amravati","Amravati","Maharashtra","444602","India"
"Department of Botany, Swedish Museum of Natural History","Arne Anderberg, Director, Phanerogamic Botany","P.O. Box 50007, Svante Arrhenius väg 7","Roslagsvägen 101","Svante Arrhenius vaeg 7","Stockholm","Not Applicable","104 05","Sweden"
"Duke University Marine Lab","Bernie Ball","135 Duke Marine Lab Road","","","Beaufort","NC","28516","USA"
"E.C. Smith Herbarium, Acadia University","Ruth E. Newell","K. C. Irving Environmental Science Centre and Harriet Irving Botanical Gardens","P.O. Box 48, 32 University Avenue","P.O. Box 48, 32 University Avenue","Wolfville","Nova Scotia","B4P 2R6","Canada"
"Earlham College, Joseph Moore Museum","Heather Lerner","Earlham College","801 National Road West","","Richmond","IN","47374","USA"
"El Colegio de la Frontera Sur, Herbario","Gerald Alexander Islebe","Unidad Chetumal","Av. Centenario Km 5.5","Col. Pacto Obrero","Chetumal","Quintana Roo","77014","Mexico"
"Estonian University of Life Sciences","Mart Rahi","Kreutzwaldi 1","","","Tartu","Not Applicable","51014","Estonia"
"European Collection of Cell Cultures","Dr Elizabeth Fashola-Stone","","","","","","",""
"Facultad de Ciencias","Raul Maneyro","Igua 4225","","","Montevideo","Montevideo","11400","Uruguay"
"Field Museum of Natural History","Matt von Konrat","1400 S Lake Shore Drive","","","Chicago","Illinois","60605-2496","USA"
"Field Museum of Natural History, Botany Department","Michael Dillon","Botany Department","1400 South Lake Shore Drive","","Chicago","Illinois","60605-2496","USA"
"Florida Museum of Natural History","Elise V. LeCompte","Florida Museum of Natural History","Museum Road and Newell Drive","PO Box 117800","Gainesville","FL","32611-7800","USA"
"Florida Museum of Natural History- Zoology, Paleontology and Paleobotany","Dr. David Steadman","Florida Museum of Natural History","Museum Road and Newell Drive","PO Box 117800","Gainesville","FL","32611-7800","USA"
"Florida Museum of Natural History, Herbarium","Kent Perkins","379 Dickinson Hall, P.O. Box 110575","P.O. Box 110575","","Gainesville","Florida","32611-0575","USA"
"Florida State Collection of Arthropods, The Museum of Entomology","Michael C. Thomas","P.O. Box 147100","","","Gainesville","Florida","32614-7100","USA"
"Frost Entomological Museum, Penn State University","Andrew R. Deans, Ph.D.","501 ASI Building","Penn State University","","University Park","Pennsylvania","16802","USA"
"Fungal Genetics Stock Center","Kevin McCluskey","School of Biological Sciences","University of Missouri- Kansas City","5007 Rockhill Road","Kansas City","mo","64110","USA"
"Georgia Southern University","Colleen R. Evans","Institute for Coastal Plain Science","Georgia Southern University","","Statesboro","Georgia","30460-8042","USA"
"Ghent University, Biology Department","Eric Coppejans","Biology Department","Laboratory of Botany","K. L. Ledeganckstraat 35","B-9000 Ghent","Oost-Vlaanderen","9000","Belgium"
"Ginseng Resource Bank","Deok-Chun Yang","Aejiwon, Kyung Hee university","1 Seocheon-dong, Giheung-gu","","Yongin-si","Gyeonggi-do","446-701","South Korea"
"Graduate School of Information Science and Technology, Hokkaido University","Hidemi Watanabe","N14W9","","","Sapporo","Hokkaido","060-814","Japan"
"Gujarat Biodiversity Gene Bank","Dr Snehal Bagatharia","Gujarat State Biotechnology Mission","9/11 Udyog Bhavan","","Gandhinagar","Gujarat","382011","India"
"Harry D. Thiers Herbarium - San Francisco State University","Dennis E. Desjardin","Department of Biology","1600 Holloway Avenue","1600 Holloway Avenue","San Francisco","California","94132","USA"
"Harvard University - Arnold Arboretum","Charles Davis","22 Divinity Avenue","","","Cambridge","Massachusetts","2138","USA"
"Harvard University - Economic Herbarium of Oakes Ames","Charles Davis","Botanical Museum","22 Divinity Avenue","","Cambridge","Massachusetts","2138","USA"
"Harvard University - Farlow Herbarium","Donald H. Pfister","22 Divinity Ave.","","","Cambridge","Massachusetts","2138","USA"
"Harvard University - Gray Herbarium","Charles Davis","22 Divinity Avenue","","","Cambridge","Massachusetts","2138","USA"
"Harvard University - New England Botanical Club Herbarium","Charles Davis","22 Divinity Avenue","","","Cambridge","Massachusetts","2138","USA"
"Harvard University - Oakes Ames Orchid Herbarium","Charles Davis","Botanical Museum","","","Cambridge","Massachusetts","2138","USA"
"Helicobacter pylori Korean Type Culture Collection","Hyung-Lyun Kang","Gyeongsang National University School of Medicine","Department of Microbiology","chiram-dong 92","Jinju","Gyeongnam","660-751","Korea"
"Humboldt State University Herbarium","James P. Smith","Biological Sciences Department","Herbarium","","Arcata","California","95521-8299","USA"
"Hymenoptera Institute Collection, University of Kentucky","Michael Sharkey","Department of Entomology","University of Kentucky","S-227 Agricultural Sciences Bldg North","Lexington","Kentucky","40546-0091","USA"
"Illinois Natural History Survey","Jamie Minnaert-Grote","Illinois Natural History Survey","1816 South Oak St.","","Champaign","Illinois","61820-6970","USA"
"ILSbio, LLC Biobank","Jordan Brown","100 Radcliffe Drive","","","Chestertown","MD","21620","USA"
"Indiana State Museum and Historic Sites","Michele Greenan","650 West Washington St.","","","Indianapolis","IN","46204","USA"
"Insects of the Area Conservacion Guanacaste, northwestern Costa Rica","Daniel Janzen","Daniel Janzen","Department of Biology","University of Pennsylvania","Philadelphia","PA","19104","USA"
"Institut fur Geologie und Palaontologie","","","","","","","",""
"Institut National de la Recherche Agronomique - Orleans. Unite de Zoologie Forestiere","Carlos Lopez Vaamonde","2163 Avenue de la Pomme de Pin","CS 40001 Ardon, 45075","","ORLEANS, cedex 2","Loiret","45075","France"
"Institute of Geology at Tallinn University of Technology","Olle Hints","Institute of Geology at TUT","5 Ehitajate tee","","Tallinn","","19086","Estonia"
"Instituto de BiIología, Universidad Nacional Autónoma de México","Joaquin Gimenez","Circuito exterior s/n, Ciudad Universitaria, Copilco, Coyoacán , Mexico City, DF","","","Mexico City","Distrito Federal","4510","Mexico"
"Instituto de Ciencias Naturales de la Universidad Nacional de Colombia","Prof. Carlos Sarmiento","Universidad Nacional de Colombia","Insituto de Ciencias Naturales","","Bogota","D.C.","n/a","Colombia"
"Instituto Nacional de Investigacion y Desarrollo Pesquero","Juan M. Diaz de Astarloa","","","","","","",""
"International Collection of Micro-organisms from Plants","Dr Peter Buchanan","Landcare Research","Private Bag 92 170","Auckland Mail Centre","Auckland","","1142","New Zealand"
"Iziko Museums of Cape Town","Hamish Robertson","P.O. Box 61","","","Cape Town","Western Cape","8000","South Africa"
"J.B. Wallis Museum of Entomology","Terry D. Galloway","Department of Entomology","University of Manitoba","","Winnipeg","Manitoba","R3T 2N2","Canada"
"Jason Swallen Herbarium","Nancy Murray, Ph.D, Curator","Botany-Microbiology Department","Botany-Microbiology Department","Ohio Wesleyan University","Delaware","Ohio","43015-2370","USA"
"Joseph F. Rock Herbarium, University of Hawaii","Tom Ranker, Professor and Chair of Botany","Botany Department","3190 Maile Way, room 101","3190 Maile Way","Honolulu","Hawaii","96822-2279","USA"
"Kagoshima University Museum - Herbarium","Yukino  Ochiai","1-21-30 Kohrimoto","1-21-30 Kohrimoto","","Kagoshima","Kagoshima","890-0065","Japan"
"Kansas State University Herbarium","Carolyn J. Ferguson","Division of Biology","Ackert Hall","","Manhattan","Kansas","66506","USA"
"Karlsruher Institute of Technology - Botanical Garden","Prof. Dr. Peter Nick","Am Fasanengarten 2","","","Karlsruhe","Baden-Wuerttemberg","76131","Germany"
"Kenai National Wildlife Refuge Arthropod Collection","Matt Bowser, Collection Manager","P.O. Box 2139","MS 519","","Soldotna","Alaska","99669","USA"
"King Faisal University","Khalid A. Alhudaib","PO Box 400","Plant Protection Dept","","Alhasa","","31982","Saudi Arabia"
"Komaba Museum, University of Tokyo","Motomi Ito","3-8-1 Komaba, Meguro-ku","","","Tokyo","Tokyo","153-8902","Japan"
"Koninklijk Museum voor Midden Afrika","","","","","","","",""
"Korea Animal Bioresource Bank","GONSUP KIM, DVM, PhD","Gyeongsang National University","Animal Bioresource Center","Gazaw-dong","Jinju","Gyeongnam","660-701","Korea"
"Korea Bank for Pathogenic Viruses","Ki-Joon Song","Department of Microbiology College of Medicine Korea University","126-1, Anam-dong 5-ga, Seongbuk-gu","","Seoul","","136-705","South Korea"
"Korea Cosmeceutical Material Bank","Prof. Moon Ki Park","Korea Cosmeceutical Material Bank(KCMB)","290","Yugok-dong","Gyeongsan-si","Gyeongsangbuk-do","712-715","South Korea"
"Korea Lung Tissue Bank","Han Kyeom Kim","Department of Pathology, Korea University Guro Hospital","80 Guro-dong, Guro-gu","","Seoul","","152-703","South Korea"
"Korea Marine Microalgae Culture Center","Prof. Sung Bum Hur","Pukyong National University","","","Busan","Busan","608-737","Korea"
"Korea National Environmental Microorganisms Bank","Sang-Seob Lee","San94-6, Iui-dong, Yeongtong-gu","Koonggi university, Research center 104","","Suwon-si","Gyeonngi-do","443-760","Korea"
"Korea Prostate Bank","Ji-Young Lee","5010 units","Catholic Research Institutes of Medical Science 505","Banpo-dong","Seocho-gu","Seoul","137-040","Korea"
"Korea University Herbarium","Ki-Joong Kim","School of Life Sciences","Anamdong-5-1, Seungbuk-gu","","Seoul 136-701","Seoul","136-701","South Korea"
"Korean Lichen and Allied Bioresource Center","Hur Jae-Seoun","Sunchon National University","413 Jungangno (315 Maegok)","","Suncheon","Jeollanam-do","540-742","South Korea"
"L. H. Bailey Hortorium, Cornell University","Dr. Anna Stalter, Associate Curator","Department of Plant Biology","412 Mann Library Building","412 Mann Library Building","Ithaca","New York","14853-4301","USA"
"LABMAR/Universidade Federal de Alagoas","Tereza Cristina dos Santos Calado","Rua Aristeu de Andrade, n.452, Farol, Maceio Alagoas, CEP.57051-090","Rua Hamilton de Barros Soutinho, n.756, Jatiuca, Maceio Alagoas, CEP.57035-690","","Maceio","Alagoas","57.051-090","Brazil"
"Lakehead University, Biology Department","Erika  North","Biology Department","Biology Department","Lakehead University","Thunder Bay","Ontario","P7B 5E1","Canada"
"Landcare Research","Peter Buchanan","Landcare Research","PO Box 69040","","Lincoln","","7640","New Zealand"
"Liver Cancer Specimen Bank","Hoguen Kim","Yonsei University College of Medicine","Department of Pathology","134, Shinchon-Dong, Seodaemoon-Ku","Seoul","Seoul","120-752","Korea"
"Louisiana State University - Herbarium","Lowell E. Urbatsch, Director","Biological Sciences Department","202 Life Sciences Building","Louisiana State University","Baton Rouge","Louisiana","70803-1705","USA"
"Louisiana State University Mycological Herbarium","Meredith  Blackwell, Curator","Biological Sciences Department","202 Life Sciences Building","","Baton Rouge","Louisiana","70803-1705","USA"
"Louisiana State University Shreveport - D.T. MacRoberts Herbarium","Michael H. MacRoberts, Curator","Biological Sciences Department","One University Place","","Shreveport","Louisiana","71115-2399","USA"
"Maize Genetics Cooperation - Stock Center","Marty Sachs","USDA/ARS and Crop Sciences/University of Illinois","S-123 Turner Hall","1102 South Goodwin Avenue","Urbana","IL","61801","USA"
"Marine Biodiversity Collection of South China Sea, Chinese Academy of Sciences","Hui Huang","","","","","","",""
"MBLWHOI Library Herbarium","Pamela T. Polloni, Curator","MBL/WHOI Library","Woods Hole Oceanographic Institution Quissett Campus","360 Woods Hole Road, MS #8","Woods Hole","Massachusetts","2543","USA"
"McGill University, Redpath Museum","Virginie Millien PhD., Curator-in-Chief","Redpath Museum","859 Sherbrooke Street West","","Montreal","Quebec","H3A 2K6","Canada"
"Medical Plant Resources Bank for Immune and Disease","Prof. Joo-Hwan Kim","Herbarium(KWU) and Plant Systematics Laboratory","Dept. of Life Science, Coll. of Natural Sciences, Kyungwon University","65 Bokjeong-dong, Sujeong-gu","Seongnam-si","Kyeonggi-do","461-701","South Korea"
"Michigan State University Museum","Laura Abraczinskas, Collections Manager","Michigan State University Museum","Division of Natural Sciences","409 West Circle Drive, Room 103","East Lansing","MI","48824-1045","USA"
"Michigan State University Museum","Laura Abraczinskas, Collections Manager","Michigan State University Museum","Division of Natural Sciences","409 West Circle Drive, Room 103","East Lansing","MI","48824-1045","USA"
"Microbial Observatory of the Laboratoire Arago","Philippe Lebaron","","","","","","",""
"Montana State Entomology Collection","Michael Ivie","Montana Entomology Collection","Marsh Lab, Room 50","1600 S. 19th Ave.","Bozeman","MT","59717","USA"
"Monte L. Bean Life Science Museum","Skip Skidmore, Collection Manager of Vertebrates","Monte L. Bean Life Science Museum","Zoological Collections","Brigham Young University","Provo","Utah","84602","USA"
"Morton Arboretum, Research Department","Andrew Hipp","Research Department","4100 Illinois Route 53","4100 Illinois Route 53","Lisle","Illinois","60532-1293","USA"
"Musée Royal de l’Afrique Centrale","Marc De Meyer","","","","","","",""
"Museo Argentino de Ciencias Naturales Bernardino Rivadavia","Martin Ramirez, Curador General","Museo Argentino de Ciencias Naturales Bernardino Rivadavia","Av. Angel Gallardo 470","","Buenos Aires","","C1405DJR","Argentina"
"Museo de Historia Natural Andes","Santiago Madrinan","Museo de Historia Natural","Departamento de Ciencias Biológicas","Apartado Aéreo 4976","Bogotá","D.C.","Yes","Colombia"
"Museo de Historia Natural, Universidad Nacional Mayor de San Marcos","","Av. Arenales 1256 - Jesus Maria","Apdo. 14-0434","","Lima","Lima","Lima11","Peru"
"Museo de Zoologia - El Colegio de la Frontera Sur, Chetumal","Enrique Escobedo Cabrera","El Colegio de la Frontera Sur","Museo de Zoologia","","Chetumal","Quintana Roo","77014","Mexico"
"Museo de Zoologia, Pontificia Universidad Catolica del Ecuador","Santiago R. Ron","Museo de Zoologia","Pontificia Universidad Catolica del Ecuador","12 de Octubre y Patria","Quito","Pichincha","NA","Ecuador"
"Museo del Instituto de Zoologia Agricola Francisco Fernandez Yepez","Jose Clavijo A","Museo del Instituto de Zoologia Agricola Francisco Fernandez Yepez","Facultad de Agronomia, UCV","Apdo. 4579","Maracay","Aragua","2101A","Venezuela"
"Museo del Jurasico de Asturias","Dr. Jose Carlos GARCIA-RAMOS","Rasa de San Telmo, s/n","","","Colunga","Asturias","E-33328","Spain"
"Museo Nacional de Ciencias Naturales","Isabel Rey Fraile","JosÃ© Gutierrez Abascal, 2, 28006 Madrid","","","MADRID","MADRID","28006","Spain"
"Museu de Ciències Naturals de Barcelona","Francesc Uribe","Passeig Picasso S/N","","","Barcelona","","08003","Spain"
"Museum and Art Gallery of the Northern Territory","Gavin Dally","GPO Box 4646","","","Darwin","NT","0801","Australia"
"Museum d'Histoire Naturelle","Danielle Decrouez","","","","","","",""
"Museum für Naturkunde Berlin (Zoological Collections)","Thomas von Rintelen","Invalidenstrasse 43","","","Berlin","Berlin","10115","Germany"
"Museum National d' Histoire Naturelle, Paris (MNHN) - Vascular Plants","Pascale Chesselet, Collections Manager","Département de Systématique et Evolution","Phanérogamie","16 rue Buffon","F-75005 Paris","","F-75231 Cedex 05","France"
"Museum National d'Histoire Naturelle - Laboratoire Maritime","","Laboratoire Maritime","17 avenue George V","","Dinard","","","France"
"Museum National d'Histoire Naturelle, Paris (MNHN) - Non-vascular Plants and Fungi","Bruno  Dennetière","Dépt. Systématique et Évolution","UMS 7205- Case Postale 39, 57 rue Cuvier","57 rue Cuvier, CP 39","F-75231 Paris Cedex 05","","F-75231 Cedex 05","France"
"Museum of Central Australia","Michael Cawthorn","PO Box 3521","","","Alice Springs","NT","871","Australia"
"Museum of Comparative Zoology","Linda S. Ford","Harvard University","26 Oxford St","","Cambridge","MA","02138","USA"
"Museum of Entomological and Prairie Arthropod Research, Kansas State University","Greg Zolnerowich","Department of Entomology","123 Waters Hall","Kansas State University","Manhattan","Kansas","66506","USA"
"Museum of Faculty of Fisheries, Ege University","Melih Ertan CINAR","Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey"
"Museum of New Zealand Te Papa Tongarewa","Simon Whittaker, Head of Collections Management Natural Environment","Museum of NZ Te Papa Tongarewa","PO Box 467","","Wellington","","","New Zealand"
"Museum of New Zealand Te Papa Tongarewa - Entomology","Ricardo L. Palma","Museum of New Zealand Te Papa Tongarewa","P.O. Box 467","169 Tory Street","Wellington","","6140","New Zealand"
"Museum of New Zealand Te Papa Tongarewa - Herbarium","Patrick J. Brownsey, Senior Curator","Botany Department","Cable Street, P.O. Box 467","","Wellington 6011","","","New Zealand"
"Museum of Southwestern Biology","Gordon Jarrell","Museum of Southwestern Biology","University of New Mexico","","Albuquerque","New Mexico","87131-0001","USA"
"Museum of Tropical Queensland","Mr Peter McLeod","70-102 Flinders Street","","","Townsville","Queensland","4810","Australia"
"Museum of Vertebrate Zoology, University of California Berkeley","Carla Cicero, PH.D","3101 Valley Life Sciences Building","University of California","","Berkeley","CA","94720-3160","USA"
"Museum Victoria","Dermot Henry, Manager, Natural Science Collections","Museum Victoria","GPO Box 666","","Melbourne","Victoria","3001","Australia"
"Myxobacteria Bank","Kyungyun Cho","Department of Biotechnology","Hoseo University","Baebang-eup","Asan","Chungnam","336-795","South Korea"
"Nanjing Agricultural University, Department of Plant Science","Sheng  Qiang","Department of Plant Science","6 Tongwei Road","6 Tongwei Road","Nanjing","Jiangsu","210095","China"
"Nationaal Herbarium Nederland","Erik  Smets, Director","P. O. Box 9514","","","2300 RA Leiden","","","Netherlands"
"National and Kapodistrian University of Athens","Evangelia Kapsanaki-Gotsi, Curator","","","","","","",""
"National Biodiversity Institute, Costa Rica","Jesus Ugalde, Associate Director Biodiversity Science","P.O. Box: 22-3100","","","Santo Domingo de Heredia","","","Costa Rica"
"National Ecological Observatory Network","Michael W. Denslow","1685 38th St.","Suite 100","","Boulder","CO","80301","USA"
"National Institute of Water and Atmospheric Research","Kareen Schnabel, Collection Manager","National Institute of Water and Atmospheric Research","Coasts and Oceans","Private Bag 14 901","Wellington","","6022","New Zealand"
"National Museum of Natural History, Naturalis","Dr. R.W.R.J. (Ren&amp;Atilde;&amp;copy;) Dekker","P.O. Box 9517","2300 re leiden","","Leiden","Zuid-Holland","2300 RA","Netherlands"
"National Museum of Natural History, Naturalis","Dr. R.W.R.J. (Rene) Dekker","Postbus 9517","","","Leiden","Zuid-Holland","2300 RA","Netherlands"
"National Museum of Natural History, Naturalis","","Postbus 9517","","","Leiden","Zuid-Holland","2300 RA","Netherlands"
"Smithsonian Institution, National Museum of Natural History","Carol Butler","P.O. Box 37012, MRC-106","","","Washington","DC","20013-7012","USA"
"Smithsonian Institution, National Museum of Natural History","Carol Butler","P.O. Box 37012, MRC-106","","","Washington","DC","20013-7012","USA"
"National Museum of Scotland - Natural Sciences","Nick Fraser, Keeper of Natural Sciences","National Museums Scotland","Chambers Street","","Edinburgh","n/a","EH1 1JF","United Kingdom"
