"Name of Institution","Primary Contact","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country"
"Museum für Naturkunde","Thomas von Rintelen","Museum für Naturkunde, Leibniz-Institut für Evolutions- und Biodiversitätsforschung","Invalidenstraße 43","","Berlin","","10115","Germany"
"Museo de Biologia de la Universidad Central de Venezuela","","Instituto de Zoologa Tropical. Facultad de Ciencias,  Av. Los Ilustres. Los Chaguaramos,  Apartado Postal 47058, Caracas 1041-A","","","","","","Venezuela"
"Culture and Information Centre of Industrial Microorganisms of China's Univeristies","","The Key Laboratory of Industrial Biotechnology, Ministry of Education, Southern YangtzeUniversity　Wuxi 214122, P.R.China","","","","","","China"
"University of California Berkeley Mycogarden","","Department of Plant and Microbial Biology, University of California, Berkeley, 111 Koshland Hall #3102, Berkeley, CA 94720-3102","","","","","","USA"
"Colecao Micologica de Lavras","","Universidade Federal de Lavras, Departamento de Fitopatologia  Campus UFLA - PO Box 3037 - CEP 37200-000 - Lavras MG - Brasil","","","","","",""
"Stephen F. Austin State University","","Department of  Biology, Miller Science Building, Room 222, Box 13003 SFA Station,  Nacogdoches, TX 75962. Texas, Nacogdoches","","","","","","USA"
"Laboratorul de Paleontologie","","Facultatea de geologie si geografie a Universitatii de BUcuresti - Laboratory of Paleontology of the University of Bucharest","","","","","","Romania"
"All-Russian Collection of Microorganisms","","Institute of Biochemistry and Physiology of Microorganisms, Russian Academy of Sciences, Pushchino, Moscow Region, 142290","","","","","","Russia"
"Central Institute of Fisheries Education","","Address: Scientist, Div. of Fish genetics and Biotechnology, CIFE, Off yari road, Versova, Andheri (West), Mumbai- 400061","","","","","","India"
"Scandinavian Culture Collection of Algae and Protozoa","","Section for Aquatic Biology, Department of Biology, University of Copenhagen, ster Farimagsgade 2D, DK-1353 Copenhagen K","","","","","","Denmark"
"Otdel Paleontologii i Biostratigrafii Akademii Nauk Moldovkoi Republiki","","Ki?inev - Department of Paleontology and Biostratigraphy of the Academy of Sciences of the Republic Moldova, Kishinev","","","","","","Moldova"
"Korean Cell Line Bank","","Cancer Research Institute, Seoul National University College of Medicine, 28 Yongon-dong, Chongno-gu, Seoul, 110-744","","","","","","South Korea"
"Polish Collection of Microorganisms","","Institute of Immunology and Experimental Therapy, Polish Academy of Sciences, Rudolfa Weigla 12, Wroclaw, PL-53 114","","","","","","Poland"
"U.S. National Tick Collection","","Institute for Coastal Plain Science","75 Georgia Avenue, Building 204","PO BOX 8056","Statesboro","GA","30460-8056","USA"
"Department of Biology of the University of Greifswald","","Institute of Microbiology, Department of Applied Microbiology, Friedrich-Ludwig-Jahn-Strasse 15a, 17489 Greifswald","","","","","","Germany"
"Caenorhabditis Genetics Center","","Dept. of Genetics, Cell Biology and Development, University of Minnesota, 321 Church St. SE, Minneapolis MN 55455","","","","","","USA"
"Museu de Zoologia da Universidade Estadual de Campinas","","Universidade Estadual de Campinas, Instituto de Biologia, Rua Monteiro Lobato 255, Campinas, Sao Paulo 13083-970","","","","","","Brazil"
"California Insect Survey","Peter T Oboyski","Essig Museum of Entomology","201 Wellman Hall MC-3112","University of California","Berkeley","California","94720-3112","USA"
"The Culture Collection of Extremophilic Fungi","","University of Ljubljana, Biotechnical Faculty, Department of Biology, Vecna pot 111, SI-1000 Ljubljana, Slovenia","","","","","","Slovenia"
"Western Australian Soil Microbiology culture collection, Murdoch. University","","Crop and Plant Research Institute (CaPRI), Division of Science, Murdoch  University, South St, Murdoch, WA 6150","","","","","","Australia"
"CSIRO Starter Culture Collection","","Dairy innovation Australia Ltd, starter culture division,180 Princes Highway Werribee, Victoria Australia, 3030","","","","","","Australia"
"IAM Culture Collection, Center for Cellular and Molecular Research","","Institute of Molecular and Cellular Biosciences, University of Tokyo, 1-1-1, Yayoi, Bunkyo-ku, Tokyo, 113-0032","","","","","","Japan"
"Tomicus collection Canadian Forest Service","","Canadian Forest Service, Great Lakes Forestry Centre, 1219 Queen Street, Sault Ste. Marie, ON, P6A 5M7, Canada","","","","","","Canada"
"Washington State University, Charles R. Conner Museum","","Abelson Hall, Room 312, School of Biological Sciences, PO Box 644236, Washington State University, Pullman WA","","","","","","USA"
"Centre de Recherche sur les Mammiferes Marins","","Institut du Littoral et de l'Environnement, Universit de La Rochelle, Avenue du Lazaret, F-17000 La Rochelle","","","","","","France"
"Center for Marine Microbial Ecology and Diversity Collection","","1680 East West Road, POST 105, 1680 East West Road, POST 105, Honolulu, HI 96822-2327, University of Hawaii","","","","","","USA"
"Fusarium Research Center","","Department of Plant Pathology,  216 Buckhout Laboratory,  Penn State University, University Park, PA 16802","","","","","","USA"
"Centro Interdisciplinario de Ciencias Marinas","","Av. Instituto Politecnico Nacional s/n Col. Playa Pablo de Santa Rita, Apdo. Postal 592 La Paz, B.C.S. 23","","","","","","Mexico"
"Instituto de Oceanografia da Universidade de Lisboa","","Instituto de Oceanografia, Faculdade de Cincias da Universidade de Lisboa, Campo Grande, 1749-016 Lisboa,","","","","","","Portugal"
"Laboratoire de Mycologie associe au CNRS","","Universit Claude Bernard, Btiment 406, 43 boulevard du 11 Novembre 1918, F-69622 Villeurbane Cedex, Lyon","","","","","","France"
"Assiut University Mycological Centre Culture Collection","","Assiut University Mycological Centre (AUMC), Faculty of Science, Assiut University, 71516 Assiut, Egypt","","","","","","Egypt"
