"URL","Collection Name","Collection Code","Institution Name","Institution Code","URL for collection","URL for collection's specimen catalog/database","URL for collection's webservices","Collection Description","Collection Content Type","Preservation Type","Accession Status","Status of Collection","Access Eligibility and Rules","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country","Physical Address 1","Physical Address 2","Physical Address 3","City/Town","State/Province","Postal/Zip Code","Country","Primary Contact","LSID","Cool URI"
"http://grbio.org/institutional-collection/amphibia","Amphibia","AM","Biodiversity Research Museum, Academia Sinica, Taiwan","BRCAS","","","","Collection Identifiers ASIZR0000001~ASIZR0999999","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Institutional","Active","","","","","","","","","","","","","","","","","","http://grbio.org/cool/vf1m-rpes"
"http://grbio.org/institutional-collection/amphibia-0","Amphibia","AMP","Museum of Faculty of Fisheries, Ege University","ESFM","","","","Amphibians","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Institutional","Active","","Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey","Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey","","","http://grbio.org/cool/qt3d-gkh2"
"http://grbio.org/institutional-collection/amphibians","Amphibians","A","Museo de Zoologia, Pontificia Universidad Catolica del Ecuador","QCAZ","http://www.puce.edu.ec/zoologia/introduccion.html","","","Includes collection of frozen tissue","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Institutional","Active","","Santiago Ron","Museo de Zoologia","Pontificia Universidad Catolica del Ecuador","Quito","Pichincha","NA","Ecuador","Museo de Zoologia","Pontificia Universidad Catolica del Ecuador","","Quito","Pichincha","NA","Ecuador","","","http://grbio.org/cool/t608-why3"
"http://grbio.org/institutional-collection/amphipoda","Amphipoda","34","Australian National Insect Collection","ANIC","","","","Amphipods","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Institutional","Active","","","","","","","","","","","","","","","","","","http://grbio.org/cool/vr55-vzpd"
"http://grbio.org/institutional-collection/anfibios-y-reptiles","Anfibios y reptiles","H","Museo de Zoologia - El Colegio de la Frontera Sur, Chetumal","ECOCH","","","","","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Institutional","Active","","El Colegio de la Frontera Sur","Museo de Zoologia","Av. Centenario km 5.5","Chetumal","Quintana Roo","77014","Mexico","El Colegio de la Frontera Sur","Museo de Zoologia","Av. Centenario km 5.5","Chetumal","Quintana Roo","77014","Mexico","","","http://grbio.org/cool/5drk-tw50"
"http://grbio.org/institutional-collection/animalia","Animalia","N","University of Melbourne Herbarium","MELU<IH>","http://www.botany.unimelb.edu.au/herbarium/","","","Nematodes, etc.","Biological: Other or Undefined","Storage Environment: Other (please define)","Institutional","Active","","University of Melbourne Herbarium","School of Botany","","The University of Melbourne","Victoria","3010","Australia","University of Melbourne Herbarium","School of Botany","","The University of Melbourne","Victoria","3010","Australia","","","http://grbio.org/cool/ewdk-8kcr"
"http://grbio.org/institutional-collection/annelida","Annelida","W0","Biodiversity Research Museum, Academia Sinica, Taiwan","BRCAS","","","","Collection identifiers ASIZW0000001~ASIZW0999999","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Institutional","Active","","","","","","","","","","","","","","","","","","http://grbio.org/cool/gcn3-jbv6"
"http://grbio.org/institutional-collection/anthropology","Anthropology","ANTH","California Academy of Sciences","CAS","http://research.calacademy.org/anthro/collections","","","~16,000 objects, most of which are ethnographic. Specialties: U.S. Southwest and the Pacific Islands, and basketry from California. Known within discipline as CAS.","","","Institutional","Active","","California Academy of Sciences","55 Music Concourse Drive","","San Francisco","CA","94118","USA","California Academy of Sciences","55 Music Concourse Drive","","San Francisco","CA","94118","USA","","","http://grbio.org/cool/sp1b-cdf8"
"http://grbio.org/institutional-collection/arachnology","Arachnology","K","Museum Victoria","NMV","","","","","Biological: Other or Undefined","Storage Environment: Other (please define)","Institutional","Active","","","","","","","","","","","","","","","","","","http://grbio.org/cool/hxi3-gc2k"
"http://grbio.org/institutional-collection/aranea","Aranea","AA","Museo de Zoologia - El Colegio de la Frontera Sur, Chetumal","ECOCH","","","","Arachnids","Biological: Other or Undefined","Storage Environment: Other (please define)","Institutional","Active","","El Colegio de la Frontera Sur","Museo de Zoologia","Av. Centenario km 5.5","Chetumal","Quintana Roo","77014","Mexico","El Colegio de la Frontera Sur","Museo de Zoologia","Av. Centenario km 5.5","Chetumal","Quintana Roo","77014","Mexico","","","http://grbio.org/cool/y5yw-f2bn"
"http://grbio.org/institutional-collection/araneae","Araneae","42","Australian National Insect Collection","ANIC","","","","Spiders","Biological: Other or Undefined","Storage Environment: Other (please define)","Institutional","Active","","","","","","","","","","","","","","","","","","http://grbio.org/cool/4pfd-q108"
"http://grbio.org/institutional-collection/archaeognatha-microcoryphia","Archaeognatha (Microcoryphia)","4","Australian National Insect Collection","ANIC","","","","Jumping Bristletails","Biological: Other or Undefined","Storage Environment: Other (please define)","Institutional","Active","","","","","","","","","","","","","","","","","","http://grbio.org/cool/dz0g-4eda"
