"URL","Collection Name","Institution Name","Institutional Code/Acronym","Collection Code","URL for collection","URL for collection's specimen catalog/database","URL for collection's webservices","Collection Description","Collection Content Type","Preservation Type","Accession Status (Yes=Institutional, No=Project)","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country","Physical Address 1","Physical Address 2","Physical Address 3","City/Town","State/Province","Postal/Zip Code","Country","Primary Contact","Status of Collection: Active?","LSID"
"http://grbio.org/institutional-collection/amphibians","Amphibians","Museo de Zoologia, Pontificia Universidad Catolica del Ecuador",,"A","http://www.puce.edu.ec/zoologia/introduccion.html",,,"Includes collection of frozen tissue","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Yes","Santiago Ron","Museo de Zoologia","Pontificia Universidad Catolica del Ecuador","Quito","Pichincha","NA","Ecuador","Museo de Zoologia","Pontificia Universidad Catolica del Ecuador",,"Quito","Pichincha","NA","Ecuador",,"Yes",
"http://grbio.org/institutional-collection/amphipoda","Amphipoda","Australian National Insect Collection",,"34",,,,"Amphipods","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Yes",,,,,,,,,,,,,,,,"Yes",
"http://grbio.org/institutional-collection/anfibios-y-reptiles","Anfibios y reptiles","Museo de Zoologia - El Colegio de la Frontera Sur, Chetumal",,"H",,,,,"Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Yes","El Colegio de la Frontera Sur","Museo de Zoologia","Av. Centenario km 5.5","Chetumal","Quintana Roo","77014","Mexico","El Colegio de la Frontera Sur","Museo de Zoologia","Av. Centenario km 5.5","Chetumal","Quintana Roo","77014","Mexico",,"Yes",
"http://grbio.org/institutional-collection/animalia","Animalia","University of Melbourne Herbarium",,"N","http://www.botany.unimelb.edu.au/herbarium/",,,"Nematodes, etc.","Biological: Other or Undefined","Storage Environment: Other (please define)","Yes","University of Melbourne Herbarium","School of Botany",,"The University of Melbourne","Victoria","3010","Australia","University of Melbourne Herbarium","School of Botany",,"The University of Melbourne","Victoria","3010","Australia",,"Yes",
"http://grbio.org/institutional-collection/annelida","Annelida","Biodiversity Research Museum, Academia Sinica, Taiwan",,"W0",,,,"Collection identifiers ASIZW0000001~ASIZW0999999","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Yes",,,,,,,,,,,,,,,,"Yes",
"http://grbio.org/institutional-collection/anthropology","Anthropology","California Academy of Sciences",,"ANTH","http://research.calacademy.org/anthro/collections",,,"~16,000 objects, most of which are ethnographic. Specialties: U.S. Southwest and the Pacific Islands, and basketry from California. Known within discipline as CAS.",,,"Yes","California Academy of Sciences","55 Music Concourse Drive",,"San Francisco","CA","94118","USA","California Academy of Sciences","55 Music Concourse Drive",,"San Francisco","CA","94118","USA",,"Yes",
"http://grbio.org/institutional-collection/arachnology","Arachnology","Museum Victoria",,"K",,,,,"Biological: Other or Undefined","Storage Environment: Other (please define)","Yes",,,,,,,,,,,,,,,,"Yes",
"http://grbio.org/institutional-collection/aranea","Aranea","Museo de Zoologia - El Colegio de la Frontera Sur, Chetumal",,"AA",,,,"Arachnids","Biological: Other or Undefined","Storage Environment: Other (please define)","Yes","El Colegio de la Frontera Sur","Museo de Zoologia","Av. Centenario km 5.5","Chetumal","Quintana Roo","77014","Mexico","El Colegio de la Frontera Sur","Museo de Zoologia","Av. Centenario km 5.5","Chetumal","Quintana Roo","77014","Mexico",,"Yes",
"http://grbio.org/institutional-collection/araneae","Araneae","Australian National Insect Collection",,"42",,,,"Spiders","Biological: Other or Undefined","Storage Environment: Other (please define)","Yes",,,,,,,,,,,,,,,,"Yes",
"http://grbio.org/institutional-collection/archaeognatha-microcoryphia","Archaeognatha (Microcoryphia)","Australian National Insect Collection",,"4",,,,"Jumping Bristletails","Biological: Other or Undefined","Storage Environment: Other (please define)","Yes",,,,,,,,,,,,,,,,"Yes",
"http://grbio.org/institutional-collection/archaeozoological-materials-collection","Archaeozoological Materials Collection","Museum d'Histoire Naturelle",,"ARCO",,,,"Samples of animal remains from archaeological sites.","Biological: Other or Undefined","Storage Environment: Other (please define)","Yes",,,,,,,,"Route de Malagnou 1",,,"Geneva",,"1208","Switzerland",,"Yes",
"http://grbio.org/institutional-collection/insect-arachnid-and-myriapod-collection","Insect, Arachnid and Myriapod Collection","Field Museum of Natural History",,"ARTH","http://fieldmuseum.org/explore/department/zoology/insects/collections","http://fieldmuseum.org/explore/department/zoology/insects/collections",,"The Division of Insects’ holdings of worldwide Arthropoda (excluding Crustacea) rank fifth in overall size among North American collections and are of worldwide importance for many groups. The collection presently includes roughly 4.1 million pinned insects plus 8.3 million specimens or lots in alcohol or on microscope slides. In addition, there are over 17,000 partly-sorted “bulk samples” from traps or leaf-litter extractions. The collection receives heavy use by US and international research visitors and borrowers as well as extensive educational use.","Biological: Other or Undefined","Storage Environment: Other (please define)","Yes","The Field Museum of Natural History","1400 S. Lake Shore Drive",,"Chicago","IL","60605-2496","USA","The Field Museum of Natural History","1400 S. Lake Shore Drive",,"Chicago","IL","60605-2496","USA","Crystal Maier","Yes",
"http://grbio.org/institutional-collection/arthropoda-aranea-collection","Arthropoda - Aranea collection","National Museum of Natural History, Naturalis",,"ARA","http://science.naturalis",,,,"Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Yes","Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2",,,"Leiden","Zuid-Holland","2333 CR","Netherlands",,"Yes",
"http://grbio.org/institutional-collection/arthropoda-chilopoda-collection","Arthropoda - Chilopoda collection","National Museum of Natural History, Naturalis",,"CHIL","http://science.naturalis.nl",,,,"Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Yes","Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2",,,"Leiden","Zuid-Holland","2333 CR","Netherlands",,"Yes",
"http://grbio.org/institutional-collection/arthropoda-collembola-collection","Arthropoda - Collembola collection","National Museum of Natural History, Naturalis",,"COL","http://science.naturalis.nl",,,,"Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Yes","Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2",,,"Leiden","Zuid-Holland","2333 CR","Netherlands",,"Yes",
"http://grbio.org/institutional-collection/arthropoda-diplopoda-collection","Arthropoda - Diplopoda collection","National Museum of Natural History, Naturalis",,"DIP","http://science.naturalis.nl",,,,"Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Yes","Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2",,,"Leiden","Zuid-Holland","2333 CR","Netherlands",,"Yes",
"http://grbio.org/institutional-collection/arthropoda-diplura-collection","Arthropoda - Diplura collection","National Museum of Natural History, Naturalis",,"APT.D","http://science.naturalis.nl",,,,"Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Yes","Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2",,,"Leiden","Zuid-Holland","2333 CR","Netherlands",,"Yes",
"http://grbio.org/institutional-collection/arthropoda-pedipalpida-collection","Arthropoda - Pedipalpida collection","National Museum of Natural History, Naturalis",,"PED","http://science.naturalis.nl",,,,"Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Yes","Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2",,,"Leiden","Zuid-Holland","2333 CR","Netherlands",,"Yes",
"http://grbio.org/institutional-collection/arthropoda-protura-collection","Arthropoda - Protura collection","National Museum of Natural History, Naturalis",,"APT.P","http://science.naturalis.nl",,,,"Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Yes","Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2",,,"Leiden","Zuid-Holland","2333 CR","Netherlands",,"Yes",
"http://grbio.org/institutional-collection/arthropoda-pseudoscorpioida-collection","Arthropoda - Pseudoscorpioida collection","National Museum of Natural History, Naturalis",,"PSS","http://science.naturalis.nl",,,,"Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Yes","Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2",,,"Leiden","Zuid-Holland","2333 CR","Netherlands",,"Yes",
"http://grbio.org/institutional-collection/arthropoda-pycnogonida-collection","Arthropoda - Pycnogonida collection","National Museum of Natural History, Naturalis",,"PYC","http://science.naturalis.nl",,,,"Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Yes","Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2",,,"Leiden","Zuid-Holland","2333 CR","Netherlands",,"Yes",
"http://grbio.org/institutional-collection/arthropoda-scorpionida-collection","Arthropoda - Scorpionida collection","National Museum of Natural History, Naturalis",,"SCO","http://science.naturalis.nl",,,,"Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Yes","Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2",,,"Leiden","Zuid-Holland","2333 CR","Netherlands",,"Yes",
"http://grbio.org/institutional-collection/arthropoda-solpugida-collection","Arthropoda - Solpugida collection","National Museum of Natural History, Naturalis",,"SOL","http://science.naturalis.nl",,,,"Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Yes","Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2",,,"Leiden","Zuid-Holland","2333 CR","Netherlands",,"Yes",
"http://grbio.org/institutional-collection/arthropoda-thysanura-collection","Arthropoda - Thysanura collection","National Museum of Natural History, Naturalis",,"APT.T","http://science.naturalis.nl",,,,"Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Yes","Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2",,,"Leiden","Zuid-Holland","2333 CR","Netherlands",,"Yes",
"http://grbio.org/institutional-collection/arthropoda-xiphosura-collection","Arthropoda - Xiphosura collection","National Museum of Natural History, Naturalis",,"XIP","http://science.naturalis.nl",,,,"Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Yes","Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2",,,"Leiden","Zuid-Holland","2333 CR","Netherlands",,"Yes",
"http://grbio.org/institutional-collection/athropoda-opiliones","Athropoda - Opiliones","National Museum of Natural History, Naturalis",,"OPI","http://science.naturalis.nl",,,,"Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Yes","Postbus 9517",,,"Leiden","Zuid-Holland","2300 RA","Netherlands","Darwinweg 2",,,"Leiden","Zuid-Holland","2333 CR","Netherlands",,"Yes",
"http://grbio.org/institutional-collection/aves","Aves","Museo de Zoologia - El Colegio de la Frontera Sur, Chetumal",,"A",,,,,"Biological: Other or Undefined","Storage Environment: Other (please define)","Yes","El Colegio de la Frontera Sur","Museo de Zoologia","Av. Centenario km 5.5","Chetumal","Quintana Roo","77014","Mexico","El Colegio de la Frontera Sur","Museo de Zoologia","Av. Centenario km 5.5","Chetumal","Quintana Roo","77014","Mexico",,"Yes",
"http://grbio.org/institutional-collection/aves-0","Aves","Biodiversity Research Museum, Academia Sinica, Taiwan",,"A0",,,,"Collection Identifiers ASIZA0000001~ASIZA0999999","Biological: Other or Undefined","Storage Environment: Other (please define)","Yes",,,,,,,,,,,,,,,,"Yes",
"http://grbio.org/institutional-collection/aves-1","Aves","Museum of Faculty of Fisheries, Ege University",,"AVS",,,,"Birds","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)","Yes","Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey","Ege University","Faculty of Fisheries","Department of Hydrobiology","Bornova","Izmir","35100","Turkey",,"Yes",
